Company_Name,Price,Gross_Revenue,Net_Discretionary,Tax_Prep_Income,Bookkeeping_Income,Other_Income,Entity_Average_Fee,1041_Average_Fee,1041_Count,1065_Average_Fee,1065_Count,1120_Average_Fee,1120_Count,1120s_Average_Fee,1120s_Count,990_Average_Fee,990_Count,Established_Year,Indiv Rev Est,Entity Rev Est,Individual_Clients_Average_Fee,Individual_Clients_Count,Entity Count Est,Entity Average Fee,Actual,Err,,Sale_Link
Torrance #TOR125,"$1,300,000.00 ","$1,128,000.00 ","$590,765.00 ","$925,750.00 ","$202,676.00 ",,$881.00 ,$750.00 ,75,"$1,000.00 ",70,"$1,000.00 ",20,"$1,000.00 ",100,$225.00 ,20,,"$665,000.00 ","$260,324.00 ",$700.00 ,950,295,$881.00 ,296,-1,,https://www.atbcal.com/torrance-2/
Encino #ENO125,"$895,000.00 ","$731,489.00 ","$348,384.00 ","$608,200.00 ","$123,289.00 ",,"$1,325.00 ",$800.00 ,55,"$1,500.00 ",20,"$1,800.00 ",10,"$1,800.00 ",50,"$1,000.00 ",3,,"$525,000.00 ","$83,200.00 ","$1,500.00 ",350,63,"$1,325.00 ",142,-79,,https://www.atbcal.com/encino-eno125/
Concord #CON125,"$535,000.00 ","$440,910.00 ","$240,322.00 ","$270,500.00 ","$111,000.00 ","$59,410.00 ","$1,543.00 ","$1,400.00 ",11,"$1,400.00 ",8,"$1,500.00 ",6,"$2,700.00 ",22,$450.00 ,22,1992,"$164,000.00 ","$106,500.00 ","$1,025.00 ",160,69,"$1,543.00 ",69,0,,https://www.atbcal.com/concord-con125/
Fresno #FRE124,"$425,000.00 ","$353,381.00 ","$208,501.00 ","$221,252.00 ","$1,747.00 ","$130,382.00 ","$1,244.00 ",$758.00 ,49,"$1,664.00 ",6,"$3,750.00 ",3,"$2,620.00 ",10,,,2000,"$136,676.00 ","$84,576.00 ",$727.00 ,188,68,"$1,244.00 ",68,0,,https://www.atbcal.com/fresno-fre124/
Westlake Village #WLV125,"$320,000.00 ","$246,082.00 ","$246,082.00 ","$246,082.00 ",,,"$1,732.00 ","$1,529.00 ",9,,,"$3,600.00 ",2,"$1,702.00 ",7,,,2024,"$214,896.00 ","$31,186.00 ","$1,776.00 ",121,18,"$1,732.00 ",18,0,,https://www.atbcal.com/westlake-village-wlv125/
Southwest Riverside County #SWR125,"$199,000.00 ","$169,716.00 ",,"$169,716.00 ",,,$734.00 ,,,,,,,,,,,,"$129,955.00 ","$39,761.00 ",$553.00 ,235,54,$734.00 ,35,19,,https://www.atbcal.com/southwest-riverside-county-swr125/
Palm Desert #PAL125,"$160,000.00 ","$142,233.00 ","$113,651.00 ","$137,288.00 ","$4,522.00 ",,"$1,041.00 ",$736.00 ,15,,,,,"$1,224.00 ",25,,,,"$100,170.00 ","$37,541.00 ",$318.00 ,315,36,"$1,041.00 ",40,-4,,https://www.atbcal.com/palm-desert-pal124/
La Mesa #LAM125,"$155,000.00 ","$123,262.00 ","$98,267.00 ","$123,262.00 ",,,"$1,822.00 ","$1,591.00 ",13,"$1,418.00 ",2,"$2,556.00 ",5,"$1,358.00 ",5,"$2,385.00 ",1,,"$86,072.00 ","$37,190.00 ",$812.00 ,106,20,"$1,822.00 ",28,-8,,https://www.atbcal.com/la-mesa-lam125/
Lake Forest #LKF125,"$110,000.00 ","$101,579.00 ",,"$101,580.00 ",,,$752.00 ,,,,,,,,,,,,"$99,324.00 ","$2,255.00 ",$372.00 ,267,3,$752.00 ,3,0,,https://www.atbcal.com/lake-forest-lkf125/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG,"$455,444.44 ","$381,850.22 "," $263,710.29 ","$311,514.44 ",88646.8,94896,"$1,230.44 ",1080.571429,32.42857143,1396.4,21.2,2367.666667,7.666666667,1772,31.28571429,1015,11.5,2005,"$235,677.00 ","$75,837.00 ",$864.78 ,299,70,"$1,230.44 ",78,,,
MEDIAN,"$320,000.00 ","$246,082.00 "," $240,322.00 ","$221,252.00 ",111000,94896,"$1,244.00 ",800,15,1418,8,2178,5.5,1702,22,725,11.5,2000,"$136,676.00 ","$39,761.00 ",$727.00 ,235,54,"$1,244.00 ",40,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Price,Gross_Revenue,Net_Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,
